,PostalCode,Borough,Neighbourhood
2,M3A,North York,Parkwoods
3,M4A,North York,Victoria Village
4,M5A,Downtown Toronto,Regent Park
5,M6A,North York,Lawrence Manor
6,M7A,Downtown Toronto,Queen's Park
8,M9A,Etobicoke,Islington Avenue
9,M1B,Scarborough,Malvern
11,M3B,North York,Don Mills
12,M4B,East York,Parkview Hill
13,M5B,Downtown Toronto,Garden District
14,M6B,North York,Glencairn
17,M9B,Etobicoke,West Deane Park
18,M1C,Scarborough,Rouge Hill
20,M3C,North York,Don Mills
21,M4C,East York,Woodbine Heights
22,M5C,Downtown Toronto,St. James Town
23,M6C,York,Humewood-Cedarvale
26,M9C,Etobicoke,Eringate
27,M1E,Scarborough,Guildwood
30,M4E,East Toronto,The Beaches
31,M5E,Downtown Toronto,Berczy Park
32,M6E,York,Caledonia-Fairbanks
36,M1G,Scarborough,Woburn
39,M4G,East York,Leaside
40,M5G,Downtown Toronto,Central Bay Street
41,M6G,Downtown Toronto,Christie
45,M1H,Scarborough,Cedarbrae
46,M2H,North York,Hillcrest Village
47,M3H,North York,Bathurst Manor
48,M4H,East York,Thorncliffe Park
49,M5H,Downtown Toronto,Richmond
50,M6H,West Toronto,Dufferin
54,M1J,Scarborough,Scarborough Village
55,M2J,North York,Fairview
56,M3J,North York,Northwood Park
57,M4J,East York,East Toronto
58,M5J,Downtown Toronto,Harbourfront East
59,M6J,West Toronto,Little Portugal
63,M1K,Scarborough,Kennedy Park
64,M2K,North York,Bayview Village
65,M3K,North York,Downsview
66,M4K,East Toronto,The Danforth West
67,M5K,Downtown Toronto,Toronto Dominion Centre
68,M6K,West Toronto,Brockton
72,M1L,Scarborough,Golden Mile
73,M2L,North York,York Mills
74,M3L,North York,Downsview
75,M4L,East Toronto,India Bazaar
76,M5L,Downtown Toronto,Commerce Court
77,M6L,North York,North Park
80,M9L,North York,Humber Summit
81,M1M,Scarborough,Cliffside
82,M2M,North York,Willowdale
83,M3M,North York,Downsview
84,M4M,East Toronto,Studio District
85,M5M,North York,Bedford Park
86,M6M,York,Del Ray
89,M9M,North York,Humberlea
90,M1N,Scarborough,Birch Cliff
91,M2N,North York,Willowdale
92,M3N,North York,Downsview
93,M4N,Central Toronto,Lawrence Park
94,M5N,Central Toronto,Roselawn
95,M6N,York,Runnymede
98,M9N,York,Weston
99,M1P,Scarborough,Dorset Park
100,M2P,North York,York Mills West
102,M4P,Central Toronto,Davisville North
103,M5P,Central Toronto,Forest Hill North & West
104,M6P,West Toronto,High Park
107,M9P,Etobicoke,Westmount
108,M1R,Scarborough,Wexford
109,M2R,North York,Willowdale
111,M4R,Central Toronto,North Toronto West
112,M5R,Central Toronto,The Annex
113,M6R,West Toronto,Parkdale
114,M7R,Mississauga,Canada Post Gateway Processing Centre
116,M9R,Etobicoke,Kingsview Village
117,M1S,Scarborough,Agincourt
120,M4S,Central Toronto,Davisville
121,M5S,Downtown Toronto,University of Toronto
122,M6S,West Toronto,Runnymede
126,M1T,Scarborough,Clarks Corners
129,M4T,Central Toronto,Moore Park
130,M5T,Downtown Toronto,Kensington Market
135,M1V,Scarborough,Milliken
138,M4V,Central Toronto,Summerhill West
139,M5V,Downtown Toronto,CN Tower
142,M8V,Etobicoke,New Toronto
143,M9V,Etobicoke,South Steeles
144,M1W,Scarborough,Steeles West
147,M4W,Downtown Toronto,Rosedale
148,M5W,Downtown Toronto,Stn A PO Boxes
151,M8W,Etobicoke,Alderwood
152,M9W,Etobicoke,Northwest
153,M1X,Scarborough,Upper Rouge
156,M4X,Downtown Toronto,St. James Town
157,M5X,Downtown Toronto,First Canadian Place
160,M8X,Etobicoke,The Kingsway
165,M4Y,Downtown Toronto,Church and Wellesley
168,M7Y,East Toronto,Business reply mail Processing Centre
169,M8Y,Etobicoke,Old Mill South
178,M8Z,Etobicoke,Mimico NW
